目录,模型名称,下载地址
"style_models","flux1-redux-dev.safetensors","https://huggingface.co/Comfy-Org/Flux1-Redux-Dev/resolve/main/flux1-redux-dev.safetensors"
"unet","Chroma1-HD-fp8_scaled_rev2.safetensors","https://huggingface.co/silveroxides/Chroma1-HD-fp8-scaled/resolve/main/Chroma1-HD-fp8_scaled_rev2.safetensors"
"unet","Wan21-WanMove_fp8_scaled_e4m3fn_KJ.safetensors","https://huggingface.co/Kijai/WanVideo_comfy_fp8_scaled/resolve/main/WanMove/Wan21-WanMove_fp8_scaled_e4m3fn_KJ.safetensors"
"unet","Wan2_1-I2V-ATI-14B_fp8_e4m3fn.safetensors","https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1-I2V-ATI-14B_fp8_e4m3fn.safetensors"
"unet","Wan2_2-Animate-14B_fp8_e4m3fn_scaled_KJ.safetensors","https://huggingface.co/Kijai/WanVideo_comfy_fp8_scaled/resolve/main/Wan22Animate/Wan2_2-Animate-14B_fp8_e4m3fn_scaled_KJ.safetensors"
"unet","flux1-canny-dev.safetensors","https://huggingface.co/Comfy-Org/flux1-dev/resolve/main/split_files/diffusion_models/flux1-canny-dev.safetensors"
"unet","flux1-dev-fp8.safetensors","https://huggingface.co/Comfy-Org/flux1-dev/resolve/main/flux1-dev-fp8.safetensors"
"unet","flux1-dev.safetensors","https://huggingface.co/Comfy-Org/flux1-dev/resolve/main/flux1-dev.safetensors"
"unet","flux1-fill-dev.safetensors","https://huggingface.co/Comfy-Org/flux1-dev/resolve/main/split_files/diffusion_models/flux1-fill-dev.safetensors"
"unet","flux1-schnell.safetensors","https://huggingface.co/Comfy-Org/flux1-schnell/resolve/main/flux1-schnell.safetensors"
"unet","flux2_dev_fp8mixed.safetensors","https://huggingface.co/Comfy-Org/flux2-dev/resolve/main/split_files/diffusion_models/flux2_dev_fp8mixed.safetensors"
"unet","hidream_e1_full_bf16.safetensors","https://huggingface.co/Comfy-Org/HiDream-I1_ComfyUI/resolve/main/split_files/diffusion_models/hidream_e1_full_bf16.safetensors"
"unet","hidream_i1_dev_fp8.safetensors","⚠️ 未提供"
"unet","hidream_i1_fast_fp8.safetensors","https://huggingface.co/Comfy-Org/HiDream-I1_ComfyUI/resolve/main/split_files/diffusion_models/hidream_i1_fast_fp8.safetensors"
"unet","hidream_i1_full_fp8.safetensors","https://huggingface.co/Comfy-Org/HiDream-I1_ComfyUI/resolve/main/split_files/diffusion_models/hidream_i1_full_fp8.safetensors"
"unet","humo_17B_fp8_e4m3fn.safetensors","https://huggingface.co/Comfy-Org/HuMo_ComfyUI/resolve/main/split_files/diffusion_models/humo_17B_fp8_e4m3fn.safetensors"
"unet","hunyuan_video_t2v_720p_bf16.safetensors","⚠️ 未提供"
